SALON 2023 TEST
EXPOSANTS;PROFESSION;NOM EXPOSANT;ADRESSE;VILLE CP;MAIL;TELEPHONE;;;
ACM;ASPIRATION CENTRALISEE;ROCHE DOMINIQUE;1447 ROUTE DE LYON ;07430 DAVEZIEUX;acm.cyclovac@wanadoo.fr;04 75 33 04 97;;;
AGS;ELAGAGE;SERRE LOIC;90 IMPASSE LE PARADIS;38150 CHANAS;arboriste.gs@gmail.com;06 68 55 61 23;;;
AMBIANCE HABITAT ;CHEMINEES POELES;BLANCHARD DAVID;645 RUE DE LA THINE;26140 ALBON;ambiance.habitat@gmail.com;04 69 29 25 75                        06 80 84 92 06;;;
ARTPROBAT;MENUISERIE;DIDIER MANDON;8 RUE BERNARD MOREL;26140 ANNEYRON ;artprobat26@outlook.fr;06 89 14 14 85;;;
ARTHAUD ELECTRIQUE;ELECTRICITE;JURINE MICHAEL;4 RUE DE LA CAVE;38150 CHANAS;arthaud.energie@gmail.com;04 74 48 31 76;;;
AROM TECHNOLOGIES ;PANNEAUX PHOTOVOLTAIQUES;ALEXIS REDON;26 RUE DE MARSEILLE ;26140 ST RAMBERT D ALBON;alexis.redon@aromtechnologies.fr;06 61 91 11 85;;;
ASPOT ERIC ;;;;;eric.azevedo@aspot.fr;06 46 49 27 92;;;
ATELIER CONCEPT RAISON HOME;CUISINE BAINS DRESSING;LUQUET MATHILDE;155 CHEMIN DE MARSOU;07340 THORRENC;mathilde.luquet@raisonhome.com;06 59 76 77 80;;;
ATELIER CROZET;ARTISAN.TAPISSIER;ANGELO CROZET;30 BIS AVENUE DU MIDI;26600 GERVANS;ateliercrozet@sfr.fr;06 03 36 25 50;;;
AVCI FACADES;FACADIER;ABDOULAH AVCI;85 RUE DE MARSEILLE;26140 ST RAMBERT D ALBON;avcifacades@orange.fr;06 84 47 28 32                          06 81 69 58 64;;;
BATIMAN ;MENUISERIE;BOURDON BENJAMIN;5 IMPASSE DU RENIVET;38150 SALAISE /SANNE;bourdon@menuiseriecombe.com;04 75 31 00 67;;;
BAUER PHILIPPE;PARQUET REVETEMENT DE SOL;BAUER PHILIPPE ;30 AVENUE JEAN JAURES;26240 ST VALLIER;phbauer.parquets@free.fr;06 77 06 74 14;;;
BAVIERE RENOVATION;NETTOYAGE;BAVIERE MARIO;900 ROUTE DE LA PLAINE;26600 SERVES;baviererenovation@gmail.com;07 84 93 37 42;;;
BTP SERVICES;TRAVAUX PUBLIC AMENAGEMENT EX;DESCORME KEVIN et MARLENE;184 CHEMIN DES GRILLONS ;26140 ANNEYRON ;kevindescorme@gmail.com;06 50 97 90 79;;;
CAPIFRANCE;MANDATAIRE IMMOBILIER;ANTHONY BARRIER;2 RUE DESIRE VALETTE ;26240 ST VALLIER;anthony.barrier@capifrance.fr francoise.gimenez@capifrance.fr;07 60 25 43 30               ;;;
CHAPUS;PLOMBERIE CHAUFFAGE;CHAPUS CHRISTOPHE;5 RUE DU PORT DE CHAMPAGNE;26140 ST RAMBERT D ALBON;accueil@ets-chapus.com;04 75 31 04 58;;;
COGNE;MENUISERIE;FRANCK DREVETON;42 B ROUTE DE GRENOBLE;38160 ST SAUVEUR;f.dreveton@orange.fr;06 41 69 83 91                        04 76 38 11 83;;;
COMMUNAUTE DE COMMUNE;COM COM;BRUNET FLORENT;2 RUE FRANCOISE SINOUSSI;26240 ST VALLIER;l.castillo@portededromeardeche.fr;04 75 23 45 65;;;
CONSTRUCTIONS REGIONALES;CONSTRUCTIONS INDIVIDUELLES;VIOSSAT DAVID;42 RUE HELVETIA;07340 SERRIERES;davidviossat@lesconstructionsreginales.fr;06 49 23 70 77;;;
CROZET CHARPENTE;CHARPENTE;CROZET MYRON;30 BIS AVENUE DU MIDI;26600 GERVANS;crozetcharpentegmail.com;06 09 66 54 74;;;
CHEMINEE BOISAUBERT;CHEMINEE;BOISAUBERT   ROMAIN;8 Z A EMCO PARC ;38550 SABLONS;contact@cheminees-boisaubert.fr;04 74 29 81 50;;;
DRONE BATIMENT EURL;NETTOYAGE TOITURE;DALICIEUX THIERRY;120 CHEMIN DE LA SAUVA;07300 TOURNON;t.dalicieux@yahoo.fr;06 71 26 13 38;;;
DESIGNERS DE PIERRE  FACON PIERRE ART TENDENCE HABITAT;ENDUIT PIERRE;KLOCK;230 ROUTE N7;26140 ALBON;designersdepierre@gmail.com;06 63 77 35 04;;;
EFFICITY FLORENCE BERNARD;IMMOBILIER;BERNARD FLORENCE;13 RUE  PIERRE SEMARD;  38150 SALAISE SUR SANNE ;fbernard@efficity.com ;06 75 61 52 07;;;
ETL EU’EAU;QUINCAILLERIE PEINTURE;DAVESNE STEPHANE;1d RUE DE LA MANUFACTURE BAVEREY;69540 IRIGNY;marketing@etl-ecowater.fr;06 87 17 17 06;;;
EI SENECLOZE QUENTIN;ISOLATION INTERIEUR CHARPENTE;SENECLOZE QUENTIN;285 CHEMIN DE LA FEUGERE;38270 PISIEU;qsisol@outlook.fr;06 37 38 45 43;;;
ESPACE MENUISERIE;MENUISERIE;YANNICK SAUNIER;30 RUE DU RENIVET;38150 SALAISE /SANNE;espacemenuiseries38@gmail.com;06 23 82 00 62;;;
 FAURIAT ENTREPRISE;CARRELAGE;POINAS JULIEN;ZA EMCOPARC 6 RUE MONCEY ;38550 SABLONS;b.fauriat@wanadoo.fr;04 74 84 34 71;;;
FABBRI FROID;FRIGORISTE;FABBRI ALAIN ET ARTRU TRISTAN;1805 A ROUTE DE MARCOZ;26140 ALBON;fabbri@fabbri-froid.com;04 75 03 12 30;;;
